Date,IHSG
2021-03-10,6264.6791992188
2021-03-12,6358.208984375
2021-03-15,6324.2587890625
2021-03-16,6309.69921875
2021-03-17,6277.2280273438
2021-03-18,6347.8291015625
2021-03-19,6356.16015625
2021-03-22,6301.130859375
2021-03-23,6252.7119140625
2021-03-24,6156.1401367188
2021-03-25,6122.8759765625
2021-03-26,6195.5620117188
2021-03-29,6166.8178710938
2021-03-30,6071.4418945312
2021-03-31,5985.5219726562
2021-04-01,6011.4560546875
2021-04-05,5970.2861328125
2021-04-06,6002.7700195312
2021-04-07,6036.6162109375
2021-04-08,6071.7241210938
2021-04-09,6070.208984375
2021-04-12,5948.5688476562
2021-04-13,5927.4350585938
2021-04-14,6050.2758789062
2021-04-15,6079.5009765625
2021-04-16,6086.2578125
2021-04-19,6052.5400390625
2021-04-20,6038.3217773438
2021-04-21,5993.2421875
2021-04-22,5994.1840820312
2021-04-23,6016.8637695312
2021-04-26,5964.8208007812
2021-04-27,5959.62109375
2021-04-28,5974.4790039062
2021-04-29,6012.9609375
2021-04-30,5995.6162109375
2021-05-03,5952.5971679688
2021-05-04,5963.8198242188
2021-05-05,5975.9111328125
2021-05-06,5970.240234375
2021-05-07,5928.3090820312
2021-05-10,5975.787109375
2021-05-11,5938.3510742188
2021-05-17,5833.8598632812
2021-05-18,5834.3940429688
2021-05-19,5760.583984375
2021-05-20,5797.5971679688
2021-05-21,5773.1201171875
2021-05-24,5763.6318359375
2021-05-25,5815.83984375
2021-05-27,5841.828125
2021-05-28,5848.6162109375
2021-05-31,5947.462890625
2021-06-02,6031.578125
2021-06-03,6091.5131835938
2021-06-04,6065.166015625
2021-06-07,6069.9350585938
2021-06-08,5999.369140625
2021-06-09,6047.4750976562
2021-06-10,6107.5380859375
2021-06-11,6095.4970703125
2021-06-14,6080.3837890625
2021-06-15,6089.0380859375
2021-06-16,6078.5678710938
2021-06-17,6068.4467773438
2021-06-18,6007.1201171875
2021-06-21,5996.2529296875
2021-06-22,6087.841796875
2021-06-23,6034.54296875
2021-06-24,6012.0561523438
2021-06-25,6022.3989257812
2021-06-28,5939.4711914062
2021-06-29,5949.0498046875
2021-06-30,5985.4887695312
2021-07-01,6005.9580078125
2021-07-02,6023.0078125
2021-07-05,6005.6088867188
2021-07-06,6047.1108398438
2021-07-07,6044.037109375
2021-07-08,6039.8959960938
2021-07-09,6039.8442382812
2021-07-12,6078.5678710938
2021-07-13,6012.0322265625
2021-07-14,5979.21484375
2021-07-15,6046.75390625
2021-07-16,6072.509765625
2021-07-19,6017.3940429688
2021-07-21,6029.9760742188
2021-07-22,6137.546875
2021-07-23,6101.6899414062
2021-07-26,6106.3940429688
2021-07-27,6097.048828125
